1,1,1,1,0,0,0,1
1,2,1,1,0,0,0,1
1,3,1,1,0,1,0,1
1,1,1,2,1,0,0.10,1
3,1,1,1,0,0,0,1
3,2,1,1,0,0,0,1
3,1,1,2,1,0,0.10,1
1,1,1,1,0,0.05,0,1
1,2,1,1,0,0.10,0,1
1,3,1,1,0,0.95,0,1
1,1,1,2,1,0.15,0.05,1
3,1,1,1,0,0.15,0,1
3,2,1,1,0,0.10,0,1
3,1,1,2,1,0.05,0.05,1
3,1,1,2,1,0.05,0.15,1
3,3,1,1,1,1,0.01,1
3,3,1,1,1,1,0.10,1
3,3,1,1,1,1,0.20,1
3,3,3,3,1,1,1,3
3,3,1,3,1,1,1,3
3,3,2,3,1,1,1,3
3,2,3,3,1,1,1,3
3,2,1,3,1,1,1,3
3,2,2,3,1,1,1,3
3,3,1,3,1,1,0.50,3
3,3,2,3,1,1,0.50,3
3,2,3,3,1,1,0.50,3
3,2,1,3,1,1,0.50,3
3,2,2,3,1,1,0.50,3
3,3,3,3,0.90,0.90,0.90,3
3,3,1,3,0.90,0.90,0.90,3
3,3,2,3,0.90,0.90,0.90,3
3,2,3,3,0.90,0.90,0.90,3
3,2,1,3,0.90,0.90,0.90,3
3,2,2,3,0.90,0.90,0.90,3
3,3,3,3,0.90,0.50,0.90,3
3,3,3,3,0.50,0.50,0.90,3
3,3,3,3,0.60,0.50,0.90,3
3,1,1,2,1,0,0.60,2
3,1,1,2,1,0.10,0.60,2
3,1,1,2,1,0.05,0.60,2
3,1,1,2,1,0.15,0.60,2
1,3,5,3,1,0.1,0.5,3
1,3,5,3,1,0.15,0.5,3
1,3,5,3,1,0.2,0.5,3
3,3,5,3,1,0.1,0.5,3
3,3,5,3,1,0.15,0.5,3
3,3,5,3,1,0.2,0.5,3
3,3,1,3,0.10,0.30,0.10,2
